source,target,sign
PRKCD,NR2F6,-1
PRKCD,PTPN22,-1
PRKCD,PTPRA,1
PRKCD,parent_of_ACTB1,1
PRKCD,parent_of_CSK1,1
PRKCD,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,-1
PRKCD,parent_of_GNAI11_____GNAI21_____GNAI31_____JAK31,-1
PRKCD,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1_____GNB21,1
PRKCD,parent_of_GNAS1,1
PROS1,AXL,1
PRPF19,RPA1,1
PRPF19,RPA2,1
PTBP2,KHSRP,1
PTBP2,SRC,-1
PTBP2,parent_of_SRC1,1
PTCH2,SMO,1
PTCRA,LCK,1
PTDSS1,parent_of_SRC1,1
PTEN,PDPK1,1
PTEN,PTK2,-1
PTEN,SP1,-1
PTGER1,GNA12,1
PTGER1,GNAS,1
PTGER3,GNA12,1
PTGER3,GNAI1,1
PTGER3,parent_of_PIK3CA1_____PLCG11,1
PTGER4,GNAI1,1
PTGER4,GNAS,1
PTH1R,GNAS,1
PTK2,EPHA2,1
PTK2,ITGB4,1
PTK2,PIK3CA,1
PTK2,PTPRH,-1
PTK2,TLN1,1
PTK2,parent_of_CSK1,1
PTK2,parent_of_RAC11_____RHOA1,1
PTPN1,ABL1,-1
PTPN1,CAV1,-1
PTPN1,DOK1,-1
PTPN1,GHR,-1
PTPN1,IGF1R,1
PTPN1,JAK2,1
PTPN1,NTRK2,-1
PTPN1,PDGFRB,-1
PTPN1,PPP2R2A,1
PTPN1,PRKCD,-1
PTPN1,PTK2,-1
PTPN1,SRC,1
PTPN1,parent_of_ACTB1,1
PTPN1,parent_of_CRK1_____FYN1_____SRC1,-1
PTPN12,ABL1,-1
PTPN12,JAK2,-1
PTPN12,PIN1,1
PTPN12,PTK2,-1
PTPN12,SRC,-1
PTPN2,FYN,-1
PTPN2,GHR,-1
PTPN2,PDGFRB,-1
PTPN2,SRC,-1
PTPN2,STAT6,-1
PTPN22,CBL,-1
PTPN22,LCK,-1
PTPRA,FYN,1
PTPRA,LCK,1
PTPRA,LYN,-1
PTPRC,FYN,1
PTPRC,JAK2,-1
PTPRC,LCK,1
PTPRC,LYN,-1
PTPRC,SLK,1
PTPRG,ABL1,-1
PTPRG,BTK,-1
PTPRG,JAK2,-1
PTPRG,PDGFRA,1
PTPRG,PDGFRB,-1
PTPRG,PRKCD,1
PTPRG,SRC,-1
PTPRG,parent_of_ACTB1,-1
PTPRG,parent_of_PTK21,-1
PTPRH,GHR,-1
PTPRH,LCK,-1
PTPRH,PTK2,-1
PTPRH,SRC,-1
PTPRZ1,parent_of_RAC1-1_____RHOA-1,-1
QRFP,parent_of_GNAI11_____GNAI31_____GNAO11_____GNAZ1,1
RAB2A,TRIP11,1
RACK1,FYN,-1
RACK1,IGF1R,-1
RACK1,PPP2CA,1
RACK1,TRPM7,-1
RARG,RXRB,1
RARG,THRA,1
RB1,TRIP11,-1
RB1,parent_of_APAF11_____CASP91,-1
RBL2,parent_of_BRCA11,1
RCOR1,KDM1A,1
RELA,PTEN,-1
RELA,SP1,1
RGS6,ITGB3,-1
RHOA,ACTB,1
RHOA,PTPN1,-1
RPA1,BRIP1,1
RPA1,parent_of_BRCA11,1
RPA2,parent_of_BRCA11,1
RPL10,YES1,-1
RUNX1,ELANE,1
RUNX1,IER3,1
RUNX1,parent_of_JAK21,1
RXRB,NR2F2,1
RXRB,RARG,1
RXRB,THRA,1
S1PR3,GNA13,1
S1PR3,GNAI1,1
S1PR3,GNAS,1
SAA1,parent_of_SRC1,1
SERPINA1,F2,-1
SERPINA5,FN1,-1
SERPINC1,F10,-1
SERPINC1,F2,-1
SET,PPP2CA,-1
SET,PPP2CB,-1
SETBP1,SET,1
SETD1A,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,1
SF1,FUS,-1
SH2B1,JAK2,1
SH2B1,SYK,-1
SH2B2,CBL,1
SH2B2,VAV2,1
SH3GLB1,CBL,1
SHH,CDON,1
SHH,PTCH2,1
SHH,SMO,1
SHH,parent_of_SMO-1,-1
SIRT6,RELA,-1
SIRT6,TNF,1
SLA,EPHA2,-1
SLC9A3R1,ADRB2,1
SLK,RHOA,-1
SMO,ARRB2,1
SMO,FYN,1
SMO,GNAI1,1
SMO,GNAI2,1
SMO,GNB1,1
SMO,GNG2,1
SMO,SRC,1
SMO,parent_of_PIK3CA1_____PLCG11,1
SND1,STAT6,1
SNX5,IGF1R,-1
SNX6,IGF1R,-1
SOCS1,JAK2,1
SOCS1,parent_of_JAK21,1
SOCS2,IGF1R,1
SOCS2,LEPR,1
SOCS3,CSF3R,1
SOCS3,IL6R,-1
SOCS3,IL6ST,-1
SOCS3,JAK2,1
SOCS3,LEPR,1
SOCS3,LIFR,-1
SP1,PROS1,1
SP1,WNT5A,1
SP1,parent_of_ACTB1,1
SP1,parent_of_BAK11_____BAX1_____BCL2-1_____BCL2L1-1_____BCL2L2-1_____MCL1-1,1
SP1,parent_of_CCR51,1
SP1,parent_of_CSK1,1
SP1,parent_of_RHOA-1,1
SP3,parent_of_CSK1,1
SPI1,parent_of_CSF2RA1_____CSF3R1,1
SPI1,parent_of_CSK1,1
SPNS1,BCL2L1,-1
SPP1,ITGA5,1
SPP1,ITGB3,1
SPP1,parent_of_CSK1,1
SPP1,parent_of_CSK1_____PTK21_____SRC1,1
SPRY2,CBLB,-1
SRC,ABL1,1
SRC,ADAM12,1
SRC,ANXA1,1
SRC,BTK,1
SRC,CAV1,1
SRC,CBL,1
SRC,EFNB1,1
SRC,EPHA2,1
SRC,ESR1,1
SRC,GAB1,1
SRC,GAB2,1
SRC,GRB10,-1
SRC,GSN,1
SRC,IGF1R,1
SRC,ITGB3,1
SRC,ITGB4,1
SRC,JAK2,1
SRC,KIT,1
SRC,PAK2,1
SRC,PDPK1,1
SRC,PIK3CA,1
SRC,PPP2CA,-1
SRC,PRKCD,1
SRC,PTEN,-1
SRC,PTK2,1
SRC,PTPRA,1
SRC,RHOA,-1
SRC,SH3GLB1,1
SRC,SPRY2,1
SRC,SYK,1
SRC,VAV2,1
SRC,parent_of_ACTB1,-1
SRC,parent_of_CBL1,1
SRC,parent_of_CDC421_____RHOA1,1
SRC,parent_of_CSK1_____PTK21_____SRC1,1
SRC,parent_of_GNA121_____GNA131_____GNAI11_____GNAI31_____GNAO11_____GNAQ1,1
SRC,parent_of_MYO1E1,1
SRC,parent_of_PTK21,1
SRC,parent_of_RAC1-1_____RHOA-1,1
SRC,parent_of_RAC11_____RHOA1,1
SRC,parent_of_RHOA1,-1
